No of Size,review,Rating,productcode,,
7,465,4.6,HQ4672,,
6,565,4.6,IE7050,,
13,357,4.4,IG3879,,
13,278,4.6,IE8211,,
13,3,5,IF1538,,
19,2729,4.6,G48060,,
20,77,4.5,FX6563,,
13,29,4.4,ID9639,,
13,278,4.6,IE5465,,
13,491,4.6,IF5268,,
11,7477,4.7,IG1024,,
12,796,4.5,HP7556,,
13,5585,4.6,GZ9261,,
13,11303,4.7,IF7615,,
10,327,4.1,HQ9917,,
16,1977,4.7,IG7953,,
10,4915,4.7,FY8970,,
12,96,4.5,ID0273,,
11,243,4.4,IF2403,,
4,200,4.8,IE4613,,
13,40,4.7,IE7377,,
11,1871,4.6,772109,,
